81413600000,81413609999,11
81413610000,81413619999,11
81413620000,81413629999,11
81413630000,81413639999,11
81413640000,81413649999,11
81413650000,81413659999,11
81413660000,81413669999,11
81413670000,81413679999,11
81413680000,81413689999,11
81413690000,81413699999,11
81467900000,81467909999,11
81467910000,81467919999,11
81467920000,81467929999,11
81467930000,81467939999,11
81467940000,81467949999,11
81467950000,81467959999,11
81467960000,81467969999,11
81467970000,81467979999,11
81467980000,81467989999,11
81467990000,81467999999,11
81510000,81519999,8
81512000000,81512009999,11
81512010000,81512019999,11
81512020000,81512029999,11
81512030000,81512039999,11
81512040000,81512049999,11
81512050000,81512059999,11
81512060000,81512069999,11
81512070000,81512079999,11
81512080000,81512089999,11
81512090000,81512099999,11
81512100000,81512109999,11
81512110000,81512119999,11
81512120000,81512129999,11
81512130000,81512139999,11
81512140000,81512149999,11
81512150000,81512159999,11
81512160000,81512169999,11
81512170000,81512179999,11
81512180000,81512189999,11
81512190000,81512199999,11
81512200000,81512209999,11
81512210000,81512219999,11
81512220000,81512229999,11
81512230000,81512239999,11
81512240000,81512249999,11
81512250000,81512259999,11
81512260000,81512269999,11
81512270000,81512279999,11
81512280000,81512289999,11
81512290000,81512299999,11
81512300000,81512309999,11
81512310000,81512319999,11
81512320000,81512329999,11
81512330000,81512339999,11
81512340000,81512349999,11
81512350000,81512359999,11
81512360000,81512369999,11
81512370000,81512379999,11
81512380000,81512389999,11
81512390000,81512399999,11
81512400000,81512409999,11
81512410000,81512419999,11
81512420000,81512429999,11
81512430000,81512439999,11
81512440000,81512449999,11
81512450000,81512459999,11
81512460000,81512469999,11
81512470000,81512479999,11
81512480000,81512489999,11
81512490000,81512499999,11
81512500000,81512509999,11
81512510000,81512519999,11
81512520000,81512529999,11
81512530000,81512539999,11
81512540000,81512549999,11
81512550000,81512559999,11
81512560000,81512569999,11
81512570000,81512579999,11
81512580000,81512589999,11
81512590000,81512599999,11
81512600000,81512609999,11
81512610000,81512619999,11
81512620000,81512629999,11
81512630000,81512639999,11
81512640000,81512649999,11
81512650000,81512659999,11
81512660000,81512669999,11
81512670000,81512679999,11
81512680000,81512689999,11
81512690000,81512699999,11
81512700000,81512709999,11
81512710000,81512719999,11
81512720000,81512729999,11
81512730000,81512739999,11
81512740000,81512749999,11
81512750000,81512759999,11
81512760000,81512769999,11
81512770000,81512779999,11
81512780000,81512789999,11
81512790000,81512799999,11
81512800000,81512809999,11
81512810000,81512819999,11
81512820000,81512829999,11
81512830000,81512839999,11
81512840000,81512849999,11
81512850000,81512859999,11
81512860000,81512869999,11
81512870000,81512879999,11
81512880000,81512889999,11
81512890000,81512899999,11
81512900000,81512909999,11
81512910000,81512919999,11
81512920000,81512929999,11
81512930000,81512939999,11
81512940000,81512949999,11
81512950000,81512959999,11
81512960000,81512969999,11
81512970000,81512979999,11
81512980000,81512989999,11
81512990000,81512999999,11
815190000,815199999,9
815500000,815509999,9
815510000,815519999,9
8155400000,8155409999,10
816110000,816119999,9
816190000,816199999,9
8166200000,8166209999,10
8166600000,8166609999,10
8511110000,8511119999,10
85536210000,85536219999,11
85549510000,85549519999,11
85549520000,85549529999,11
85549530000,85549539999,11
85549540000,85549549999,11
85549550000,85549559999,11
85549560000,85549569999,11
85549570000,85549579999,11
85549580000,85549589999,11
85549590000,85549599999,11
85551500000,85551509999,11
8567500000,8567509999,10
85675000000,85675009999,11
856750060000,856750069999,12
8567500620000,8567500629999,13
8567500660000,8567500669999,13
8567500690000,8567500699999,13
8567510000,8567519999,10
8567520000,8567529999,10
8567530000,8567539999,10
8567540000,8567549999,10
8567550000,8567559999,10
8567560000,8567569999,10
8567570000,8567579999,10
8567580000,8567589999,10
8567590000,8567599999,10
